epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
15,3526.11,0.74269,0.84209,0.65523,1.2946,0,0.95956,0.96658,0.96991,0.7996,0.95956,0.96658,0.9699,0.85771,0.88059,0.4341,1.03369,1.16843,0,0.00872857,0.00872857,0.00872857
16,3757.62,0.68723,0.86052,0.61295,1.24745,0,0.95797,0.93759,0.96895,0.76094,0.95797,0.93759,0.96892,0.797,0.79932,0.40246,1.06066,1.09349,0,0.00855018,0.00855018,0.00855018
17,3989.34,0.6782,0.82046,0.61009,1.25047,0,0.96745,0.97172,0.96547,0.81292,0.96489,0.96915,0.96412,0.85382,0.80786,0.29215,0.85661,1.08157,0,0.0083622,0.0083622,0.0083622
18,4221.56,0.66359,0.80907,0.58795,1.22732,0,0.97059,0.97429,0.96797,0.78988,0.96738,0.97172,0.96707,0.83953,0.83938,0.53093,0.76382,1.14995,0,0.00816514,0.00816514,0.00816514
19,4452.8,0.63849,0.80023,0.5813,1.21092,0,0.95657,0.96254,0.96466,0.8216,0.95657,0.96254,0.96441,0.86233,0.82557,0.42933,0.93821,1.10132,0,0.00795954,0.00795954,0.00795954
20,4684.01,0.63407,0.80991,0.57306,1.20172,0,0.95684,0.96893,0.97055,0.77166,0.95682,0.96838,0.97055,0.8104,0.91814,0.41249,0.74908,1.10039,0,0.00774596,0.00774596,0.00774596
21,4916.1,0.62092,0.74629,0.56287,1.18084,0,0.96433,0.97299,0.9702,0.82449,0.96433,0.97299,0.9701,0.87629,0.83432,0.50244,0.72909,1.10684,0,0.007525,0.007525,0.007525
22,5148,0.5986,0.74205,0.54681,1.16295,0,0.94457,0.96915,0.96524,0.83896,0.94457,0.96915,0.96513,0.85669,0.69327,0.35144,0.64414,0.97977,0,0.00729725,0.00729725,0.00729725
23,5379.78,0.59307,0.71691,0.53166,1.15688,0,0.97671,0.97429,0.97571,0.8341,0.97671,0.97429,0.97571,0.8883,0.74675,0.35762,0.73887,1.0427,0,0.00706335,0.00706335,0.00706335
24,5611.07,0.56266,0.70554,0.51265,1.13573,0,0.98622,0.97429,0.97614,0.85215,0.98622,0.97429,0.97559,0.89771,0.77063,0.46145,0.67558,1.06252,0,0.00682392,0.00682392,0.00682392
25,5842.35,0.57589,0.69761,0.52755,1.1377,0,0.97587,0.97429,0.972,0.83005,0.97329,0.97172,0.97196,0.87107,0.77892,0.75274,0.89372,1.09385,0,0.00657963,0.00657963,0.00657963
26,6074.49,0.55979,0.66032,0.49566,1.12945,0,0.96919,0.97053,0.97241,0.84081,0.96919,0.97053,0.97419,0.87111,0.73487,0.52079,0.58803,1.06704,0,0.00633115,0.00633115,0.00633115
27,6306.07,0.55243,0.70444,0.50585,1.1234,0,0.98687,0.97686,0.97901,0.88642,0.98687,0.97686,0.97901,0.89834,0.65532,0.27169,0.50107,0.86109,0,0.00607916,0.00607916,0.00607916
28,6537.63,0.53452,0.65086,0.49992,1.11309,0,0.96933,0.97493,0.97331,0.84426,0.96933,0.97493,0.97278,0.88388,0.76281,0.50073,0.63051,1.05894,0,0.00582435,0.00582435,0.00582435
29,6769.37,0.53281,0.67386,0.49638,1.10791,0,0.98031,0.97429,0.97758,0.8704,0.97773,0.97172,0.97748,0.89639,0.67754,0.45571,0.64061,0.91052,0,0.00556742,0.00556742,0.00556742
30,7000.76,0.49329,0.62861,0.4706,1.07485,0,0.97919,0.96756,0.97311,0.85122,0.97919,0.96756,0.97228,0.87216,0.6747,0.48856,0.54539,0.97303,0,0.00530906,0.00530906,0.00530906
31,7233.79,0.49652,0.6417,0.47308,1.07091,0,0.98445,0.97617,0.97814,0.89035,0.98445,0.97617,0.97738,0.9089,0.6306,0.42855,0.51493,0.89374,0,0.00505,0.00505,0.00505
32,7496.56,0.49276,0.60825,0.45594,1.07086,0,0.97786,0.97943,0.97489,0.87547,0.97786,0.97943,0.97526,0.90136,0.6792,0.26651,0.48997,0.98153,0,0.00479094,0.00479094,0.00479094
33,7729.22,0.48985,0.60232,0.4488,1.06556,0,0.99218,0.97885,0.97759,0.89166,0.99218,0.97885,0.97384,0.90583,0.60441,0.30037,0.5312,0.83526,0,0.00453258,0.00453258,0.00453258
34,7961.31,0.46664,0.59905,0.43671,1.05612,0,0.97931,0.97342,0.97657,0.8882,0.97931,0.97342,0.97653,0.91164,0.62317,0.33503,0.45327,0.87409,0,0.00427565,0.00427565,0.00427565
35,8192.68,0.46488,0.59021,0.43243,1.04767,0,0.98592,0.97943,0.98223,0.89735,0.98592,0.97943,0.98253,0.91614,0.58219,0.30888,0.5485,0.79689,0,0.00402084,0.00402084,0.00402084
36,8424.61,0.47059,0.61596,0.44146,1.05324,0,0.98139,0.97429,0.98155,0.89524,0.98139,0.97429,0.98155,0.90648,0.57595,0.31102,0.48682,0.78061,0,0.00376885,0.00376885,0.00376885
37,8656.48,0.45721,0.61948,0.43229,1.04537,0,0.9863,0.97686,0.98074,0.89168,0.9863,0.97686,0.98074,0.91052,0.59538,0.42317,0.52512,0.80565,0,0.00352037,0.00352037,0.00352037
38,8888.46,0.44791,0.60722,0.41939,1.0372,0,0.98437,0.97139,0.98257,0.89693,0.98437,0.97139,0.98293,0.906,0.56833,0.35385,0.52641,0.78328,0,0.00327608,0.00327608,0.00327608
39,9120.52,0.43042,0.56124,0.40453,1.01389,0,0.97934,0.97469,0.9764,0.89225,0.97934,0.97469,0.97608,0.90591,0.5927,0.4802,0.45381,0.86427,0,0.00303665,0.00303665,0.00303665
40,9352.76,0.43324,0.58651,0.42071,1.01663,0,0.98639,0.97943,0.98634,0.89858,0.98639,0.97943,0.98634,0.91574,0.60537,0.24625,0.48689,0.82091,0,0.00280275,0.00280275,0.00280275
41,9585.08,0.40794,0.55625,0.39434,0.99789,0,0.99077,0.97943,0.98585,0.90302,0.99077,0.97943,0.98811,0.91788,0.58658,0.29124,0.41526,0.83096,0,0.002575,0.002575,0.002575
42,9816.61,0.41114,0.52841,0.39019,0.99985,0,0.99248,0.97686,0.98424,0.91155,0.99248,0.97686,0.98825,0.92224,0.54389,0.27309,0.42549,0.75807,0,0.00235404,0.00235404,0.00235404
43,10048.3,0.39521,0.50813,0.38367,0.99372,0,0.98244,0.97686,0.98122,0.91335,0.98244,0.97686,0.98122,0.91826,0.50468,0.22569,0.48226,0.72515,0,0.00214046,0.00214046,0.00214046
44,10280.8,0.39971,0.52133,0.38836,0.99134,0,0.99283,0.97943,0.98268,0.91071,0.99283,0.97943,0.98829,0.91734,0.51667,0.22482,0.46534,0.73444,0,0.00193486,0.00193486,0.00193486
45,10512.8,0.38941,0.49968,0.37032,0.98789,0,0.99594,0.97943,0.98256,0.90766,0.99594,0.97943,0.98264,0.91484,0.51537,0.24937,0.44774,0.7326,0,0.0017378,0.0017378,0.0017378
46,10745.5,0.3807,0.50862,0.37045,0.97154,0,0.98704,0.97861,0.9819,0.90747,0.98704,0.97861,0.9819,0.91601,0.53157,0.22173,0.43226,0.75897,0,0.00154982,0.00154982,0.00154982
47,10977.4,0.3782,0.50601,0.37253,0.98056,0,0.99611,0.97943,0.98272,0.90122,0.99611,0.97943,0.98272,0.91191,0.58969,0.21373,0.42946,0.83043,0,0.00137143,0.00137143,0.00137143
48,11209,0.38008,0.5285,0.37351,0.96602,0,0.99217,0.97786,0.99069,0.92013,0.99217,0.97786,0.99069,0.92801,0.5092,0.21322,0.41114,0.71746,0,0.00120313,0.00120313,0.00120313
49,11442.5,0.36695,0.45094,0.36176,0.96514,0,0.99678,0.97943,0.98495,0.91651,0.99678,0.97943,0.98495,0.92208,0.54259,0.18863,0.42691,0.76078,0,0.00104537,0.00104537,0.00104537
50,11674.5,0.37636,0.51928,0.36256,0.96031,0,0.99438,0.97943,0.98458,0.91414,0.99438,0.97943,0.98458,0.92312,0.52475,0.21715,0.38961,0.74704,0,0.000898581,0.000898581,0.000898581
51,11894.6,0.42299,0.34694,0.35162,0.84891,0,0.99679,0.97943,0.98701,0.92098,0.99679,0.97943,0.98899,0.92674,0.49677,0.17074,0.32681,0.72564,0,0.000763174,0.000763174,0.000763174
52,12114.8,0.42562,0.20998,0.28308,0.83636,0,0.99695,0.97943,0.98502,0.92623,0.99695,0.97943,0.98502,0.92882,0.51648,0.16203,0.30468,0.73652,0,0.000639518,0.000639518,0.000639518
53,12335.2,0.40506,0.17431,0.27477,0.82367,0,0.99168,0.98458,0.98789,0.93231,0.99168,0.98458,0.98789,0.9334,0.49052,0.16048,0.28452,0.69369,0,0.00052795,0.00052795,0.00052795
54,12555.9,0.39542,0.16709,0.26842,0.8052,0,0.98923,0.98972,0.98791,0.929,0.98923,0.98972,0.98791,0.93274,0.50421,0.16134,0.29849,0.71572,0,0.000428777,0.000428777,0.000428777
55,12775.5,0.39116,0.17883,0.26465,0.80722,0,0.99073,0.98715,0.98851,0.92971,0.99073,0.98715,0.98851,0.9332,0.48044,0.1619,0.28613,0.68649,0,0.00034227,0.00034227,0.00034227
56,12995,0.3844,0.17405,0.25947,0.81012,0,0.99689,0.97943,0.98856,0.93306,0.99689,0.97943,0.98856,0.93501,0.49212,0.15743,0.29331,0.69319,0,0.000268667,0.000268667,0.000268667
57,13214.6,0.38171,0.1653,0.25712,0.7842,0,0.99223,0.98505,0.98762,0.93201,0.99223,0.98505,0.98762,0.93323,0.48936,0.15921,0.28997,0.69757,0,0.000208169,0.000208169,0.000208169
58,13434.6,0.3833,0.1765,0.25486,0.78743,0,0.98691,0.98972,0.98862,0.93232,0.98691,0.98972,0.98862,0.93399,0.48537,0.15692,0.29249,0.69162,0,0.000160943,0.000160943,0.000160943
59,13653.8,0.39437,0.16356,0.25721,0.78266,0,0.98789,0.98972,0.98675,0.93201,0.98789,0.98972,0.98675,0.93275,0.47817,0.1581,0.28671,0.67904,0,0.000127117,0.000127117,0.000127117
60,13873.8,0.37955,0.17454,0.25214,0.78575,0,0.99655,0.97943,0.98733,0.93122,0.99655,0.97943,0.98733,0.93423,0.48556,0.16007,0.2845,0.68855,0,0.000106784,0.000106784,0.000106784
