epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,263.772,1.52139,2.61486,1.76491,2.04142,0,0.43978,0.73054,0.43094,0.17256,0.20904,0.30077,0.10911,0.0386,1.81214,9.58949,2.31776,2.28983,0,0.00332341,0.00332341,0.0700893
2,507.335,1.3895,2.13519,1.32156,1.92684,0,0.51704,0.87404,0.5737,0.2964,0.58641,0.34447,0.3152,0.12396,1.43405,7.484,3.02569,2.07207,0,0.00665223,0.00665223,0.0400848
3,746.062,1.22955,1.83759,1.15181,1.75402,0,0.68377,0.84062,0.79562,0.41669,0.61063,0.74807,0.69464,0.32014,1.64168,3.62517,1.4409,2.45995,0,0.00996299,0.00996299,0.0100622
4,975.515,1.12926,1.59141,1.04284,1.6852,0,0.87596,0.92582,0.94571,0.58342,0.87352,0.92325,0.94382,0.64192,1.29477,0.83623,1.10497,1.54741,0,0.00993906,0.00993906,0.00993906
5,1207.23,1.07904,1.49702,0.97968,1.64633,0,0.52879,0.81234,0.6498,0.36485,0.51168,0.80463,0.62251,0.38117,1.34453,2.05188,1.55393,1.66394,0,0.00989183,0.00989183,0.00989183
6,1439.39,1.05142,1.4417,0.98535,1.59589,0,0.75243,0.89974,0.86606,0.55972,0.75243,0.89974,0.86602,0.60739,1.09879,0.62453,1.01289,1.51233,0,0.00983133,0.00983133,0.00983133
7,1671.5,0.97236,1.25894,0.89709,1.52186,0,0.78425,0.87661,0.87439,0.55538,0.7765,0.87528,0.86729,0.5674,1.18631,1.20537,1.31551,1.46427,0,0.00975773,0.00975773,0.00975773
8,1902.58,0.92567,1.1888,0.82758,1.47361,0,0.79464,0.91512,0.91208,0.68576,0.79464,0.91512,0.91048,0.70929,0.92543,0.50695,1.06929,1.20385,0,0.00967122,0.00967122,0.00967122
9,2133.46,0.87082,1.10628,0.78189,1.42634,0,0.80831,0.94344,0.91586,0.62685,0.80831,0.94344,0.91528,0.68369,1.06335,0.59883,1.06878,1.40965,0,0.00957205,0.00957205,0.00957205
10,2365.35,0.83175,1.04343,0.74653,1.37817,0,0.85735,0.8807,0.90016,0.6493,0.85735,0.8807,0.90026,0.65866,1.00253,1.3189,1.07756,1.32226,0,0.00946048,0.00946048,0.00946048
11,2596.98,0.80968,0.93967,0.71579,1.36045,0,0.77374,0.94944,0.91823,0.69669,0.77374,0.94944,0.9182,0.7522,0.94979,0.38991,0.96821,1.25689,0,0.00933683,0.00933683,0.00933683
12,2829.49,0.76561,0.92577,0.69003,1.31412,0,0.86888,0.94344,0.9209,0.6274,0.86831,0.9383,0.91806,0.6635,1.15411,0.61797,1.44624,1.39237,0,0.00920142,0.00920142,0.00920142
13,3061.46,0.72971,0.90477,0.64493,1.29866,0,0.79332,0.94726,0.94196,0.72221,0.79332,0.94726,0.94199,0.79366,0.91249,0.34355,0.87884,1.27955,0,0.00905463,0.00905463,0.00905463
14,3293.34,0.76209,0.94363,0.66225,1.30891,0,0.82324,0.93573,0.92316,0.68391,0.82324,0.93573,0.92308,0.6872,0.84605,0.81505,0.95356,1.20537,0,0.00889687,0.00889687,0.00889687
