epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6654.87,0.52663,0.6965,0.47893,1.1137,0,0.97112,0.97943,0.97419,0.87313,0.97112,0.97943,0.97419,0.88798,0.66723,0.28219,0.61467,0.86791,0,0.00582435,0.00582435,0.00582435
29,6888.42,0.53868,0.71877,0.48756,1.1092,0,0.97807,0.95887,0.97529,0.87725,0.97807,0.95887,0.97522,0.89698,0.63907,0.37465,0.53765,0.92103,0,0.00556742,0.00556742,0.00556742
30,7122.99,0.49227,0.65908,0.45393,1.07839,0,0.95512,0.96401,0.97843,0.8871,0.95512,0.96401,0.97843,0.89182,0.5794,0.20544,0.60119,0.82585,0,0.00530906,0.00530906,0.00530906
31,7355.31,0.48336,0.67156,0.45297,1.06575,0,0.96615,0.96658,0.97046,0.88263,0.96615,0.96658,0.96916,0.90255,0.62432,0.53552,0.54731,0.89005,0,0.00505,0.00505,0.00505
32,7587.99,0.49802,0.6344,0.45582,1.08672,0,0.97147,0.9629,0.97498,0.88549,0.97147,0.9629,0.97458,0.9018,0.59702,0.30547,0.49198,0.79969,0,0.00479094,0.00479094,0.00479094
33,7823.89,0.49422,0.65425,0.44608,1.06735,0,0.98704,0.97909,0.97819,0.81551,0.98704,0.97909,0.97628,0.83157,0.78937,0.42237,0.71836,0.91111,0,0.00453258,0.00453258,0.00453258
34,8057.62,0.48992,0.65821,0.4466,1.08124,0,0.99301,0.97686,0.97938,0.89186,0.99301,0.97686,0.9756,0.90232,0.62965,0.37167,0.45308,0.95029,0,0.00427565,0.00427565,0.00427565
35,8298.07,0.47698,0.62297,0.43386,1.05358,0,0.9642,0.97686,0.97394,0.87683,0.9642,0.97686,0.97233,0.89244,0.61257,0.36298,0.45087,0.93274,0,0.00402084,0.00402084,0.00402084
36,8540.12,0.47736,0.64138,0.43162,1.05738,0,0.97685,0.97943,0.98474,0.90582,0.97685,0.97943,0.97628,0.90916,0.53136,0.36428,0.41056,0.77443,0,0.00376885,0.00376885,0.00376885
37,8781.42,0.45504,0.64022,0.42346,1.04794,0,0.98851,0.97686,0.98154,0.90788,0.98851,0.97686,0.98154,0.91165,0.5377,0.44829,0.44547,0.77211,0,0.00352037,0.00352037,0.00352037
38,9017.27,0.44642,0.62533,0.40663,1.03627,0,0.98541,0.96401,0.97835,0.8832,0.98541,0.96401,0.97892,0.8981,0.61898,0.29169,0.44972,0.9165,0,0.00327608,0.00327608,0.00327608
39,9259.84,0.4368,0.60304,0.40492,1.02858,0,0.98392,0.97943,0.98171,0.90388,0.98392,0.97943,0.98171,0.9149,0.5539,0.26071,0.42202,0.807,0,0.00303665,0.00303665,0.00303665
40,9500.22,0.43635,0.62509,0.41117,1.02356,0,0.97646,0.97943,0.98173,0.89689,0.97646,0.97943,0.98173,0.90496,0.56259,0.21976,0.54869,0.77376,0,0.00280275,0.00280275,0.00280275
41,9738.75,0.41757,0.59795,0.39049,1.0102,0,0.98856,0.96658,0.98119,0.90114,0.98856,0.96658,0.98086,0.90815,0.58908,0.21489,0.47072,0.85328,0,0.002575,0.002575,0.002575
42,9979.02,0.41491,0.56518,0.3903,1.00446,0,0.97435,0.97636,0.982,0.90551,0.97435,0.97636,0.982,0.91201,0.54428,0.25368,0.45841,0.75059,0,0.00235404,0.00235404,0.00235404
43,10216.4,0.3978,0.53179,0.37447,0.99791,0,0.98446,0.97733,0.98224,0.90973,0.98446,0.97733,0.98098,0.91257,0.5133,0.17199,0.43344,0.7187,0,0.00214046,0.00214046,0.00214046
44,10450.4,0.41047,0.54648,0.38764,1.00328,0,0.98449,0.979,0.98223,0.91177,0.98449,0.979,0.98223,0.91465,0.55485,0.18648,0.45149,0.77558,0,0.00193486,0.00193486,0.00193486
45,10691.3,0.39818,0.52075,0.36574,0.99793,0,0.9842,0.97943,0.98207,0.90968,0.9842,0.97943,0.98563,0.91493,0.52527,0.20887,0.46731,0.76915,0,0.0017378,0.0017378,0.0017378
